account_name,statement_type
Depósitos Compulsórios,BPA
Depósitos Compulsórios Banco Central do Brasil,BPA
Depósitos Compulsórios no Banco Central,BPA
Depósitos Compulsórios no Banco Central do Brasil,BPA
Depósitos Demandas Judiciais,BPA
Depósitos Judicais,BPA
Depósitos Judiciaias,BPA
Depósitos Judiciais,BPA
Depósitos Judiciais Compulsórios e de Incentivos,BPA
Depósitos Judiciais Outras Ações,BPA
Depósitos Judiciais e Cauções,BPA
Depósitos Judiciais e Fiscais,BPA
Depósitos Judiciais e Incentivos Fiscais,BPA
Depósitos Judiciais e Outros,BPA
Depósitos Judiciais em Garantia de Contingências,BPA
Depósitos Judicias,BPA
Depósitos Judíciais,BPA
Depósitos Vinculados a Class Action,BPA
Depósitos Vinculados a Litígios,BPA
Depósitos bancários vinculados,BPA
Depósitos compulsórios no Banco Central,BPA
Depósitos contratuais,BPA
Depósitos e Bloqueios Judiciais,BPA
Depósitos e Cauções,BPA
Depósitos e bloqueios judiciais,BPA
Depósitos e cauções vinculados,BPA
Depósitos em garantia,BPA
Depósitos em garantia e reservas para manutenção,BPA
"Depósitos em garantia, Judiciais e Cauções",BPA
Depósitos judiciais,BPA
Depósitos judiciais e cauções,BPA
Depósitos judiciais e fiscais,BPA
Depósitos judicias,BPA
Depósitos judicis e fiscais,BPA
Depósitos no Banco Central,BPA
Depósitos para Recursos e Outros,BPA
Depósitos para Reinvestimento,BPA
Depósitos vinculados,BPA
Depósitos vinculados a debêntures,BPA
Depósitos vinculados a financiamentos,BPA
Depósitos vinculados a litígios,BPA
"Depósitos, Cauções e Outros",BPA
Derivativos,BPA
Derivativos a Receber,BPA
Desenvolvimento de Novos Produtos,BPA
Desenvolvimento de Projetos,BPA
